Unnamed: 0,Points,playerID,yearID_x,stint_x,teamID_x,lgID_x,G,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,yearID_y,stint_y,G_F,GS_F,InnOuts,PO,A,E,DP,PB,WP,SB_F,CS_F,ZR,W,L,GS_x,CG,SHO,SV,IPouts,ER,BAOpp,ERA,WP_x,BK,BFP,GF,WP_y,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameGiven,weight,height,bats,throws,debut,finalGame,retroID,bbrefID,yearID,teamID_y,lgID_y,G_all,GS_y,G_batting,G_defense,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,G_ph,G_pr
13,667.0,sheffga01,2000,1,LAN,NL,141,501.0,105,163,93.0,24.0,3.0,43,109.0,4.0,6.0,101,71.0,7.0,4.0,0.0,6.0,13.0,2000,1,139,139.0,3399.0,203,5,10.0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,1968.0,11.0,18.0,USA,FL,Tampa,,,,,,,Gary,Sheffield,Gary Antonian,190.0,71.0,R,R,1988-09-03,2009-09-30,shefg001,sheffga01,2000,LAN,NL,141,141.0,141,139.0,0,0,0,0,0,0,139,0,0,139,2.0,0.0,0.0
14,663.0,palmera01,2000,1,TEX,AL,158,565.0,102,163,92.0,29.0,3.0,39,120.0,2.0,1.0,103,77.0,17.0,3.0,0.0,7.0,14.0,2000,1,108,107.0,2757.0,820,56,4.0,86,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,1964.0,9.0,24.0,Cuba,La Habana,La Habana,,,,,,,Rafael,Palmeiro,Rafael,180.0,72.0,L,L,1986-09-08,2005-08-30,palmr001,palmera01,2000,TEX,AL,158,153.0,158,108.0,0,0,108,0,0,0,0,0,0,0,46.0,4.0,1.0
15,659.0,kentje01,2000,1,SFN,NL,159,587.0,114,196,115.0,41.0,7.0,33,125.0,12.0,9.0,90,107.0,6.0,9.0,0.0,9.0,17.0,4000,2,166,157.0,4051.0,375,394,12.0,106,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,1968.0,3.0,7.0,USA,CA,Bellflower,,,,,,,Jeff,Kent,Jeffrey Franklin,185.0,73.0,R,R,1992-04-12,2008-09-27,kentj001,kentje01,2000,SFN,NL,159,157.0,159,159.0,0,0,16,150,0,0,0,0,0,0,0.0,2.0,0.0
16,653.0,martied01,2000,1,SEA,AL,153,556.0,100,180,112.0,31.0,0.0,37,145.0,3.0,0.0,96,95.0,8.0,5.0,0.0,8.0,13.0,2000,1,2,2.0,42.0,12,1,0.0,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,1963.0,1.0,2.0,USA,NY,New York,,,,,,,Edgar,Martinez,Edgar,175.0,72.0,R,R,1987-09-12,2004-10-03,marte001,martied01,2000,SEA,AL,153,148.0,153,2.0,0,0,2,0,0,0,0,0,0,0,146.0,5.0,0.0
17,653.0,sweenmi01,2000,1,KCA,AL,159,618.0,105,206,147.0,30.0,0.0,29,144.0,8.0,3.0,71,67.0,5.0,15.0,0.0,13.0,15.0,2000,1,114,114.0,2932.0,960,88,9.0,107,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,1973.0,7.0,22.0,USA,CA,Orange,,,,,,,Mike,Sweeney,Michael John,195.0,73.0,R,R,1995-09-04,2010-10-03,sweem002,sweenmi01,2000,KCA,AL,159,159.0,159,114.0,0,0,114,0,0,0,0,0,0,0,45.0,0.0,0.0
18,651.0,erstada01,2000,1,ANA,AL,157,676.0,121,240,170.0,39.0,6.0,25,100.0,28.0,8.0,64,82.0,9.0,1.0,2.0,4.0,8.0,4000,2,139,136.0,3572.0,355,9,3.0,2,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,1974.0,6.0,4.0,USA,ND,Jamestown,,,,,,,Darin,Erstad,Darin Charles,195.0,74.0,L,L,1996-06-14,2009-10-04,erstd001,erstada01,2000,ANA,AL,157,156.0,157,136.0,0,0,3,0,0,0,112,30,0,136,20.0,1.0,0.0
19,647.0,glaustr01,2000,1,ANA,AL,159,563.0,120,160,75.0,37.0,1.0,47,102.0,14.0,11.0,112,163.0,6.0,2.0,0.0,1.0,14.0,4000,2,162,155.0,4146.0,112,353,33.0,34,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,1976.0,8.0,3.0,USA,CA,Tarzana,,,,,,,Troy,Glaus,Troy Edward,220.0,77.0,R,R,1998-07-31,2010-10-01,glaut001,glaustr01,2000,ANA,AL,159,158.0,159,156.0,0,0,0,0,156,6,0,0,0,0,4.0,1.0,0.0
20,646.0,hidalri01,2000,1,HOU,NL,153,558.0,118,175,86.0,42.0,3.0,44,122.0,13.0,6.0,56,110.0,3.0,21.0,0.0,9.0,13.0,2000,1,150,149.0,3897.0,425,7,7.0,2,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,1975.0,6.0,28.0,Venezuela,Distrito Federal,Caracas,,,,,,,Richard,Hidalgo,Richard Jose,220.0,75.0,R,R,1997-09-01,2005-08-04,hidar001,hidalri01,2000,HOU,NL,153,149.0,153,150.0,0,0,0,0,0,0,36,125,37,150,0.0,2.0,0.0
21,645.0,maddugr01,2000,1,ATL,NL,35,,91,225,,,,19,,,,42,190.0,12.0,10.0,8.0,5.0,16.0,2000,1,35,35.0,748.0,25,68,2.0,5,0.0,,0.0,0.0,0.0,19.0,9.0,35.0,6.0,3.0,0.0,748.0,83.0,0.238,3.0,1.0,2.0,1012.0,0.0,0.0,1966.0,4.0,14.0,USA,TX,San Angelo,,,,,,,Greg,Maddux,Gregory Alan,170.0,72.0,R,R,1986-09-03,2008-09-27,maddg002,maddugr01,2000,ATL,NL,35,35.0,33,35.0,35,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
22,635.0,brownke01,2000,1,LAN,NL,33,,76,181,,,,21,,,,47,216.0,1.0,9.0,13.0,4.0,11.0,2000,1,33,33.0,690.0,35,33,4.0,1,0.0,,0.0,0.0,0.0,13.0,6.0,33.0,5.0,1.0,0.0,690.0,66.0,0.213,2.58,4.0,0.0,921.0,0.0,0.0,1965.0,3.0,14.0,USA,GA,Milledgeville,,,,,,,Kevin,Brown,James Kevin,195.0,76.0,R,R,1986-09-30,2005-07-23,browk001,brownke01,2000,LAN,NL,33,33.0,32,33.0,33,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
23,631.0,ordonma01,2000,1,CHA,AL,153,588.0,102,185,116.0,34.0,3.0,32,126.0,18.0,4.0,60,64.0,3.0,2.0,0.0,15.0,28.0,2000,1,152,150.0,3968.0,280,12,5.0,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,1974.0,1.0,28.0,Venezuela,Distrito Federal,Caracas,,,,,,,Magglio,Ordonez,Magglio,215.0,72.0,R,R,1997-08-29,2011-09-27,ordom001,ordonma01,2000,CHA,AL,153,150.0,153,152.0,0,0,0,0,0,0,0,0,152,152,0.0,1.0,0.0
24,631.0,damonjo01,2000,1,KCA,AL,159,655.0,136,214,146.0,42.0,10.0,16,88.0,46.0,9.0,65,60.0,4.0,1.0,8.0,12.0,7.0,2000,1,133,132.0,3449.0,334,6,5.0,1,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,1973.0,11.0,5.0,USA,KS,Fort Riley,,,,,,,Johnny,Damon,Johnny David,205.0,74.0,L,L,1995-08-12,2012-08-01,damoj001,damonjo01,2000,KCA,AL,159,157.0,159,133.0,0,0,0,0,0,0,67,69,0,133,25.0,1.0,0.0
25,629.0,jonesan01,2000,1,ATL,NL,161,656.0,122,199,121.0,36.0,6.0,36,104.0,21.0,6.0,59,100.0,0.0,9.0,0.0,5.0,12.0,2000,1,161,161.0,4291.0,438,9,2.0,2,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,1977.0,4.0,23.0,Curacao,,Willemstad,,,,,,,Andruw,Jones,Andruw Rudolf,225.0,73.0,R,R,1996-08-15,2012-10-03,jonea002,jonesan01,2000,ATL,NL,161,161.0,161,161.0,0,0,0,0,0,0,0,161,0,161,0.0,0.0,0.0
26,618.0,gonzalu01,2000,1,ARI,NL,162,618.0,106,192,112.0,47.0,2.0,31,114.0,2.0,4.0,78,85.0,6.0,12.0,2.0,12.0,12.0,2000,1,162,162.0,4292.0,293,4,3.0,1,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,1967.0,9.0,3.0,USA,FL,Tampa,,,,,,,Luis,Gonzalez,Luis Emilio,180.0,74.0,L,R,1990-09-04,2008-09-28,gonzl001,gonzalu01,2000,ARI,NL,162,162.0,162,162.0,0,0,0,0,0,0,162,0,0,162,0.0,0.0,0.0
27,611.0,garcino01,2000,1,BOS,AL,140,529.0,104,197,122.0,51.0,3.0,21,96.0,5.0,2.0,61,50.0,20.0,2.0,0.0,7.0,8.0,2000,1,136,136.0,3555.0,201,402,18.0,65,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,1973.0,7.0,23.0,USA,CA,Whittier,,,,,,,Nomar,Garciaparra,Anthony Nomar,165.0,72.0,R,R,1996-08-31,2009-10-04,garcn001,garcino01,2000,BOS,AL,140,137.0,140,136.0,0,0,0,0,0,136,0,0,0,0,1.0,3.0,0.0
28,610.0,dyeje01,2000,1,KCA,AL,157,601.0,107,193,117.0,41.0,2.0,33,118.0,0.0,1.0,69,99.0,6.0,3.0,0.0,6.0,12.0,2000,1,146,145.0,3781.0,277,11,7.0,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,1974.0,1.0,28.0,USA,CA,Oakland,,,,,,,Jermaine,Dye,Jermaine Terrell,210.0,76.0,R,R,1996-05-17,2009-10-04,dye-j001,dyeje01,2000,KCA,AL,157,155.0,157,146.0,0,0,0,0,0,0,0,0,146,146,10.0,1.0,0.0
29,599.0,willibe02,2000,1,NYA,AL,141,537.0,108,165,92.0,37.0,6.0,30,121.0,13.0,5.0,71,84.0,11.0,5.0,0.0,3.0,15.0,2000,1,137,136.0,3510.0,353,2,0.0,1,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,1968.0,9.0,13.0,P.R.,,San Juan,,,,,,,Bernie,Williams,Bernabe,180.0,74.0,B,R,1991-07-07,2006-10-01,willb002,willibe02,2000,NYA,AL,141,140.0,141,137.0,0,0,0,0,0,0,0,137,0,137,4.0,1.0,0.0
30,588.0,griffke02,2000,1,CIN,NL,145,520.0,100,141,76.0,22.0,3.0,40,118.0,6.0,4.0,94,117.0,17.0,9.0,0.0,8.0,7.0,2000,1,141,141.0,3682.0,375,9,5.0,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,1969.0,11.0,21.0,USA,PA,Donora,,,,,,,Ken,Griffey,George Kenneth,195.0,75.0,L,L,1989-04-03,2010-05-31,grifk002,griffke02,2000,CIN,NL,145,141.0,145,141.0,0,0,0,0,0,0,0,141,0,141,0.0,4.0,0.0
31,587.0,higgibo02,2000,1,DET,AL,154,597.0,104,179,101.0,44.0,4.0,30,102.0,15.0,3.0,74,99.0,6.0,2.0,2.0,3.0,5.0,2000,1,145,144.0,3769.0,307,19,7.0,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,1970.0,8.0,18.0,USA,PA,Philadelphia,,,,,,,Bobby,Higginson,Robert Leigh,180.0,71.0,L,R,1995-04-26,2005-05-05,higgb001,higgibo02,2000,DET,AL,154,154.0,154,145.0,0,0,0,0,0,0,145,0,0,145,10.0,0.0,0.0
32,585.0,alfoned01,2000,1,NYN,NL,150,544.0,109,176,109.0,40.0,2.0,25,94.0,3.0,2.0,95,70.0,1.0,5.0,0.0,6.0,12.0,2000,1,146,145.0,3722.0,316,362,10.0,84,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,1973.0,11.0,8.0,Venezuela,Miranda,Santa Teresa del Tuy,,,,,,,Edgardo,Alfonzo,Edgardo Antonio,210.0,71.0,R,R,1995-04-26,2006-06-11,alfoe001,alfoned01,2000,NYN,NL,150,147.0,150,146.0,0,0,0,146,0,0,0,0,0,0,2.0,2.0,0.0
33,579.0,piazzmi01,2000,1,NYN,NL,136,482.0,90,156,92.0,26.0,0.0,38,113.0,4.0,2.0,58,69.0,10.0,3.0,0.0,2.0,15.0,2000,1,124,124.0,3083.0,862,38,3.0,10,3.0,0.0,110.0,32.0,0.0,,,,,,,,,,,,,,,,1968.0,9.0,4.0,USA,PA,Norristown,,,,,,,Mike,Piazza,Michael Joseph,200.0,75.0,R,R,1992-09-01,2007-09-30,piazm001,piazzmi01,2000,NYN,NL,136,129.0,136,124.0,0,124,0,0,0,0,0,0,0,0,5.0,7.0,0.0
34,577.0,edmonji01,2000,1,SLN,NL,152,525.0,129,155,88.0,25.0,0.0,42,108.0,10.0,3.0,103,167.0,3.0,6.0,1.0,8.0,5.0,4000,2,152,144.0,3758.0,392,14,4.0,8,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,1970.0,6.0,27.0,USA,CA,Fullerton,,,,,,,Jim,Edmonds,James Patrick,190.0,73.0,L,L,1993-09-09,2010-09-21,edmoj001,edmonji01,2000,SLN,NL,152,144.0,152,149.0,0,0,6,0,0,0,0,146,0,146,0.0,4.0,0.0
35,576.0,ramirma02,2000,1,CLE,AL,118,439.0,92,154,80.0,34.0,2.0,38,122.0,1.0,1.0,86,117.0,9.0,3.0,0.0,4.0,9.0,2000,1,93,93.0,2398.0,134,7,2.0,1,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,1972.0,5.0,30.0,D.R.,Distrito Nacional,Santo Domingo,,,,,,,Manny,Ramirez,Manuel Aristides,225.0,72.0,R,R,1993-09-02,2011-04-06,ramim002,ramirma02,2000,CLE,AL,118,118.0,118,93.0,0,0,0,0,0,0,0,0,93,93,25.0,0.0,0.0
36,568.0,abreubo01,2000,1,PHI,NL,154,576.0,103,182,105.0,42.0,10.0,25,79.0,28.0,8.0,100,116.0,9.0,1.0,0.0,3.0,12.0,2000,1,152,150.0,3992.0,337,13,4.0,2,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,1974.0,3.0,11.0,Venezuela,Aragua,Maracay,,,,,,,Bobby,Abreu,Bob Kelly,220.0,72.0,L,R,1996-09-01,2014-09-28,abreb001,abreubo01,2000,PHI,NL,154,150.0,154,152.0,0,0,0,0,0,0,0,0,152,152,0.0,3.0,0.0
37,568.0,tejadmi01,2000,1,OAK,AL,160,607.0,105,167,104.0,32.0,1.0,30,115.0,6.0,0.0,66,102.0,6.0,4.0,2.0,2.0,15.0,2000,1,160,159.0,4201.0,233,501,21.0,115,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,1974.0,5.0,25.0,D.R.,Peravia,Bani,,,,,,,Miguel,Tejada,Miguel Odalis,220.0,69.0,R,R,1997-08-27,2013-08-10,tejam001,tejadmi01,2000,OAK,AL,160,159.0,160,160.0,0,0,0,0,0,160,0,0,0,0,0.0,1.0,0.0
38,568.0,vidrojo01,2000,1,MON,NL,153,606.0,101,200,123.0,51.0,2.0,24,97.0,5.0,4.0,49,69.0,4.0,2.0,0.0,6.0,17.0,2000,1,153,153.0,3902.0,260,442,10.0,102,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,1974.0,8.0,27.0,P.R.,,Mayaguez,,,,,,,Jose,Vidro,Jose Angel,175.0,71.0,B,R,1997-06-08,2008-08-04,vidrj001,vidrojo01,2000,MON,NL,153,153.0,153,153.0,0,0,0,153,0,0,0,0,0,0,0.0,0.0,0.0
39,564.0,alomaro01,2000,1,CLE,AL,155,610.0,111,189,128.0,40.0,2.0,19,89.0,39.0,4.0,64,82.0,4.0,6.0,11.0,6.0,19.0,2000,1,155,154.0,3928.0,293,437,15.0,109,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,1968.0,2.0,5.0,P.R.,,Ponce,,,,,,,Roberto,Alomar,Roberto,184.0,72.0,B,R,1988-04-22,2004-09-05,alomr001,alomaro01,2000,CLE,AL,155,154.0,155,155.0,0,0,0,155,0,0,0,0,0,0,0.0,0.0,1.0
40,562.0,anderga01,2000,1,ANA,AL,159,647.0,92,185,107.0,40.0,3.0,35,117.0,7.0,6.0,24,87.0,5.0,0.0,1.0,9.0,21.0,2000,1,148,147.0,3926.0,380,5,4.0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,1972.0,6.0,30.0,USA,CA,Los Angeles,,,,,,,Garret,Anderson,Garret Joseph,190.0,75.0,L,L,1994-07-27,2010-08-06,andeg001,anderga01,2000,ANA,AL,159,157.0,159,148.0,0,0,0,0,0,0,0,137,15,148,10.0,1.0,0.0
41,556.0,aloumo01,2000,1,HOU,NL,126,454.0,82,161,101.0,28.0,2.0,30,114.0,3.0,3.0,52,45.0,4.0,2.0,0.0,9.0,21.0,2000,1,121,120.0,3038.0,192,5,6.0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,1966.0,7.0,3.0,USA,GA,Atlanta,,,,,,,Moises,Alou,Moises Rojas,185.0,75.0,R,R,1990-07-26,2008-06-10,aloum001,aloumo01,2000,HOU,NL,126,121.0,126,121.0,0,0,0,0,0,0,59,0,64,121,1.0,5.0,0.0
42,554.0,salmoti01,2000,1,ANA,AL,158,568.0,108,165,93.0,36.0,2.0,34,97.0,0.0,2.0,104,139.0,5.0,6.0,0.0,2.0,14.0,2000,1,124,123.0,3209.0,274,12,6.0,4,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,1968.0,8.0,24.0,USA,CA,Long Beach,,,,,,,Tim,Salmon,Timothy James,200.0,75.0,R,R,1992-08-21,2006-10-01,salmt001,salmoti01,2000,ANA,AL,158,155.0,158,124.0,0,0,0,0,0,0,0,0,124,124,33.0,1.0,1.0
43,553.0,finlest01,2000,1,ARI,NL,152,539.0,100,151,84.0,27.0,5.0,35,96.0,12.0,6.0,65,87.0,7.0,8.0,2.0,9.0,9.0,2000,1,148,145.0,3851.0,342,10,3.0,2,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,1965.0,3.0,12.0,USA,TN,Union City,,,,,,,Steve,Finley,Steven Allen,175.0,74.0,L,L,1989-04-03,2007-06-03,finls001,finlest01,2000,ARI,NL,152,147.0,152,148.0,0,0,0,0,0,0,0,148,0,148,2.0,0.0,2.0
44,547.0,batisto01,2000,1,TOR,AL,154,620.0,96,163,88.0,32.0,2.0,41,114.0,5.0,4.0,35,121.0,1.0,6.0,0.0,3.0,15.0,2000,1,154,154.0,4101.0,120,318,17.0,35,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,1973.0,12.0,9.0,D.R.,Puerto Plata,Puerto Plata,,,,,,,Tony,Batista,Leocadio Francisco,180.0,72.0,R,R,1996-06-03,2007-09-30,batit001,batisto01,2000,TOR,AL,154,154.0,154,154.0,0,0,0,0,154,0,0,0,0,0,0.0,0.0,0.0
