Unnamed: 0,Points,playerID,yearID_x,stint_x,teamID_x,lgID_x,G,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,yearID_y,stint_y,G_F,GS_F,InnOuts,PO,A,E,DP,PB,WP,SB_F,CS_F,ZR,W,L,GS_x,CG,SHO,SV,IPouts,ER,BAOpp,ERA,WP_x,BK,BFP,GF,WP_y,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameGiven,weight,height,bats,throws,debut,finalGame,retroID,bbrefID,yearID,teamID_y,lgID_y,G_all,GS_y,G_batting,G_defense,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,G_ph,G_pr
0,847.0,heltoto01,2000,1,COL,NL,160,580.0,138,216,113.0,59.0,2.0,42,147.0,5.0,3.0,103,61.0,22.0,4.0,0.0,10.0,12.0,2000,1,160,156.0,4047.0,1326,149,7.0,143,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,1973.0,8.0,20.0,USA,TN,Knoxville,,,,,,,Todd,Helton,Todd Lynn,220.0,74.0,L,L,1997-08-02,2013-09-29,heltt001,heltoto01,2000,COL,NL,160,156.0,160,160.0,0,0,160,0,0,0,0,0,0,0,0.0,2.0,0.0
1,835.0,martipe02,2000,1,BOS,AL,29,,44,128,,,,17,,,,32,284.0,0.0,14.0,2.0,1.0,11.0,2000,1,29,29.0,651.0,14,28,0.0,2,0.0,,0.0,0.0,0.0,18.0,6.0,29.0,7.0,4.0,0.0,651.0,42.0,0.16699999999999998,1.74,1.0,0.0,817.0,0.0,0.0,1971.0,10.0,25.0,D.R.,Distrito Nacional,Manoguayabo,,,,,,,Pedro,Martinez,Pedro Jaime,170.0,71.0,R,R,1992-09-24,2009-09-30,martp001,martipe02,2000,BOS,AL,29,29.0,0,29.0,29,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2,833.0,johnsra05,2000,1,ARI,NL,35,,89,202,,,,23,,,,76,347.0,1.0,6.0,14.0,5.0,15.0,2000,1,35,35.0,746.0,5,22,3.0,1,0.0,,0.0,0.0,0.0,19.0,7.0,35.0,8.0,3.0,0.0,746.0,73.0,0.224,2.64,5.0,2.0,1001.0,0.0,0.0,1963.0,9.0,10.0,USA,CA,Walnut Creek,,,,,,,Randy,Johnson,Randall David,225.0,82.0,R,L,1988-09-15,2009-10-04,johnr005,johnsra05,2000,ARI,NL,35,35.0,34,35.0,35,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
3,761.0,delgaca01,2000,1,TOR,AL,162,569.0,115,196,97.0,57.0,1.0,41,137.0,0.0,1.0,123,104.0,18.0,15.0,0.0,4.0,12.0,2000,1,162,162.0,4288.0,1416,82,13.0,157,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,1972.0,6.0,25.0,P.R.,,Aguadilla,,,,,,,Carlos,Delgado,Carlos Juan,215.0,75.0,L,R,1993-10-01,2009-05-10,delgc001,delgaca01,2000,TOR,AL,162,162.0,162,162.0,0,0,162,0,0,0,0,0,0,0,0.0,0.0,0.0
4,755.0,bagweje01,2000,1,HOU,NL,159,590.0,152,183,98.0,37.0,1.0,47,132.0,9.0,6.0,107,116.0,11.0,15.0,0.0,7.0,19.0,2000,1,158,157.0,4086.0,1264,116,9.0,128,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,1968.0,5.0,27.0,USA,MA,Boston,,,,,,,Jeff,Bagwell,Jeffrey Robert,195.0,72.0,R,R,1991-04-08,2005-10-02,bagwj001,bagweje01,2000,HOU,NL,159,158.0,159,158.0,0,0,158,0,0,0,0,0,0,0,1.0,0.0,0.0
5,743.0,thomafr04,2000,1,CHA,AL,159,582.0,115,191,104.0,44.0,0.0,43,143.0,1.0,3.0,112,94.0,18.0,5.0,0.0,8.0,13.0,2000,1,30,30.0,775.0,267,15,1.0,38,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,1968.0,5.0,27.0,USA,GA,Columbus,,,,,,,Frank,Thomas,Frank Edward,240.0,77.0,R,R,1990-08-02,2008-08-29,thomf001,thomafr04,2000,CHA,AL,159,157.0,159,30.0,0,0,30,0,0,0,0,0,0,0,127.0,2.0,0.0
6,736.0,bondsba01,2000,1,SFN,NL,143,480.0,129,147,66.0,28.0,4.0,49,106.0,11.0,3.0,117,77.0,22.0,3.0,0.0,7.0,6.0,2000,1,141,138.0,3458.0,255,8,3.0,4,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,1964.0,7.0,24.0,USA,CA,Riverside,,,,,,,Barry,Bonds,Barry Lamar,185.0,73.0,L,L,1986-05-30,2007-09-26,bondb001,bondsba01,2000,SFN,NL,143,138.0,143,141.0,0,0,0,0,0,0,141,0,0,141,0.0,4.0,0.0
7,716.0,giambja01,2000,1,OAK,AL,152,510.0,108,170,97.0,29.0,1.0,43,137.0,2.0,0.0,137,96.0,6.0,9.0,0.0,8.0,9.0,2000,1,124,124.0,3193.0,1161,59,6.0,114,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,1971.0,1.0,8.0,USA,CA,West Covina,,,,,,,Jason,Giambi,Jason Gilbert,240.0,75.0,L,R,1995-05-08,2014-09-27,giamj001,giambja01,2000,OAK,AL,152,148.0,152,124.0,0,0,124,0,0,0,0,0,0,0,24.0,4.0,0.0
8,707.0,guerrvl01,2000,1,MON,NL,154,571.0,101,197,114.0,28.0,11.0,44,123.0,9.0,10.0,58,74.0,23.0,8.0,0.0,4.0,15.0,2000,1,151,151.0,3804.0,299,12,10.0,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,1975.0,2.0,9.0,D.R.,Peravia,Nizao,,,,,,,Vladimir,Guerrero,Vladimir,235.0,75.0,R,R,1996-09-19,2011-09-28,guerv001,guerrvl01,2000,MON,NL,154,153.0,154,151.0,0,0,0,0,0,0,0,0,151,151,2.0,1.0,0.0
9,706.0,gilesbr02,2000,1,PIT,NL,156,559.0,111,176,97.0,37.0,7.0,35,123.0,6.0,0.0,114,69.0,13.0,7.0,0.0,8.0,15.0,2000,1,155,154.0,4055.0,316,14,6.0,1,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,1971.0,1.0,20.0,USA,CA,El Cajon,,,,,,,Brian,Giles,Brian Stephen,195.0,71.0,L,L,1995-09-16,2009-06-18,gileb002,gilesbr02,2000,PIT,NL,156,154.0,156,155.0,0,0,0,0,0,0,46,72,39,155,0.0,1.0,0.0
10,702.0,jonesch06,2000,1,ATL,NL,156,579.0,118,180,105.0,38.0,1.0,36,111.0,14.0,7.0,95,64.0,10.0,2.0,0.0,10.0,14.0,4000,2,158,155.0,4044.0,96,305,25.0,25,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,1972.0,4.0,24.0,USA,FL,DeLand,,,,,,,Chipper,Jones,Larry Wayne,210.0,76.0,B,R,1993-09-11,2012-10-03,jonec004,jonesch06,2000,ATL,NL,156,155.0,156,155.0,0,0,0,0,152,6,0,0,0,0,0.0,0.0,1.0
11,689.0,rodrial01,2000,1,SEA,AL,148,554.0,134,175,98.0,34.0,2.0,41,132.0,15.0,4.0,100,121.0,5.0,7.0,0.0,11.0,10.0,2000,1,148,148.0,3855.0,243,438,10.0,123,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,1975.0,7.0,27.0,USA,NY,New York,,,,,,,Alex,Rodriguez,Alexander Enmanuel,230.0,75.0,R,R,1994-07-08,2016-08-12,rodra001,rodrial01,2000,SEA,AL,148,148.0,148,148.0,0,0,0,0,0,148,0,0,0,0,0.0,0.0,0.0
12,682.0,sosasa01,2000,1,CHN,NL,156,604.0,106,193,104.0,38.0,1.0,50,138.0,7.0,4.0,91,168.0,19.0,2.0,0.0,8.0,12.0,2000,1,156,156.0,4150.0,318,3,10.0,1,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,1968.0,11.0,12.0,D.R.,San Pedro de Macoris,San Pedro de Macoris,,,,,,,Sammy,Sosa,Samuel Peralta,165.0,72.0,R,R,1989-06-16,2007-09-29,sosas001,sosasa01,2000,CHN,NL,156,156.0,156,156.0,0,0,0,0,0,0,0,2,156,156,0.0,0.0,0.0
